VBW, BURKINA,Air Burkina,Burkina Faso
ATH, AIR TRAVEL,Air Travel Corp.,K
AMC, AIR MALTA,Air Malta,Malta
TGA, AIR TOGO,Air Togo,Togo
ASJ, SATELLITE,Air Satellite,C
ASN, ,Air and Sea Transport,U
ASS, AIR CLASS,Air Class S.A. de C.V.,Mexico
NPL, AIR NEPAL,Air Nepal International,Nepal
NPR, ,Air Napier,New Zealand
WAM, TAXI CARGO,Air Taxi & Cargo,Sudan
RSM, AIR SOMALIA,Air Somalia,Somali Republic
AWZ, ,AirWest,Sudan
AAY, ALLEGIANT,Allegiant Air,K
AAZ, ANGUS,Angus Aviation,C
ABA, ARTEM-AVIA,Artem-Avia,UK
ABB, AFRICAN BUSINESS,African Business and Transportations,Democratic Republic of the Congo
ABE, ABAN,Aban Air,Iran
ABF, SKYWINGS,Aerial Oy,Finland
ABG, ABAKAN-AVIA,Abakan-Avia,U
TUS, Turismo,ABSA Cargo,Brazil
ABJ, ,Abaeté Linhas Aéreas,Brazil
ABK, ALBERTA CITYLINK,Alberta Citylink,C
ABO, AEROEXPRESO,APSA Colombia,Colombia
ABU, AEROBUENO,Aerovías Bueno,Colombia
ACR, AEROCENTER,Aerocenter Escuela de Formación de Pilotos Privados de Avión,Spain
ABV, ANTRAK,Antrak Air,Ghana
ABX, ABEX,Airborne Express,K
ABX, ABEX,ABX Air,K
ABZ, ATA-BRAZIL,ATA Brasil,Brazil
ACC, ,Avcard Services,EG
ACD, ACADEMY,Academy Airlines,K
ACP, ASTRAL CARGO,Astral Aviation,HK
ACY, ATLAS CARGOLINES,Atlas Cargo Airlines,Morocco
ADA, AUSCAL,Airservices Australia,Y
TID, ,Air Tindi,C
ADB, ANTONOV BUREAU,Antonov Airlines,UK
ADD, ,Advanced Air Co.,Japan
ADE, ADA AIR,Ada Air,Albania
ADG, AEREA TRAINING,Aerea Flying Training Organization,Spain
ADI, AUDELI,Audeli Air,Spain
ADJ, ABICAR,Abidjan Air Cargo,Côte d'Ivoire
ADK, ADCO,ADC Airlines,Nigeria
ADL, COTSWOLD,Aero Dynamics,EG
ADN, AERODIENST,Aero-Dienst,ED
ADP, AERODIPLOMATIC,Aerodiplomatic,Mexico
ADY, AERODYNE,Aerodyne,K
ADQ, AIR DATA,Avion Taxi,C
ADR, ADRIA,Adria Airways,Slovenia
ADS, SONORAV,Aviones de Sonora,Mexico
ADU, AIRDEAL,Airdeal Oy,Finland
ADV, ADVANCE,Advance Air Charters,C
AEB, AEROBEN,Aero Benin,Benin
AEC, AEROCESAR,Aerocésar,Colombia
AED, ,Aerotrans Airlines,U
ADX, ANDAX,Anderson Aviation,K
AEE, AEGEAN,Aegean Airlines,Greece
AEG, FUMIGACIONES SAM,Aerofumigaciones Sam,Chile
GLG, AEROGAL,Aerogal,Ecuador
AEI, INTERAM,Aeroexpreso Interamericano,Colombia
AEJ, KHAKI EXPRESS,Air Express,Tanzania
AEK, AEROCON,Aerocon,Bolivia
AEM, AEROMADRID,Aero Madrid,Spain
AEN, AIR ENTERPRISE,Air Enterprise,LF
AEO, AERO OCCIDENTE,Aeroservicios Ejecutivos Del Occidente,Mexico
AEP, AEROTEC,Aerotec Escuela de Pilotos,Spain
AER, ACE AIR,Alaska Central Express,K
AES, ACES,ACES Colombia,Colombia
AAH, ALOHA,Aloha Air Cargo,K
AAK, ALASKA ISLAND,Alaska Island Air,K
AAL, AMERICAN,American Airlines,K
AAA, ANSETT,Ansett Australia,Y
AAC, ARMYAIR,Army Air Corps,EG
AEU, FLYSTAR,Astraeus,EG
AEV, AEROVENTAS,Aeroventas,Mexico
AEW, AEROSVIT,Aerosvit Airlines,UK
AEX, AVCO,Airway Express,K
AEZ, AERIAL TRANZ,Aerial Transit,K
AFA, BLUE ALFA,Alfa Air,LK
AFB, AMERICAN FALCON,American Falcon,Argentina
UTY, UNITY,Alliance Airlines,Y
UVS, UNI-LEONE,Air Universal,Sierra Leone
UVT, AUVIA,Auvia Air,Indonesia
AFC, AFRICAN WEST,African West Air,Senegal
AFE, AIRFAST,Airfast Indonesia,Indonesia
AFG, ARIANA,Ariana Afghan Airlines,Afghanistan
AFI, AFRICAWORLD,Africaone,The Gambia
AFJ, JAMBO,Alliance Air,Uganda
AFK, AFRICA LINKS,Africa Air Links,Sierra Leone
AFL, AEROFLOT,Aeroflot Russian Airlines,U
AFO, AERO EMPRESA,Aero Empresa Mexicana,Mexico
AFQ, ALBA,Alba Servizi Aerotrasporti,Italy
AFX, ,Airfreight Express,EG
AFY, AFRICA CHARTERED,Africa Chartered Services,Nigeria
AFZ, AFREIGHT,Africa Freight Services,Zambia
AGA, ,Aeronaves Del Centro,Venezuela
AGC, AGRICO,Arab Agricultural Aviation Company,Egypt
AGF, ATLANTIC GULF,Atlantic Gulf Airlines,K
SLI, COSTERA,Aeroméxico Connect,Mexico
AGG, ALGOMA,Algoma Airways,C
AGH, ALTAGNA,Altagna,LF
AGO, ANGOLA CHARTER,Angola Air Charter,Angola
AGP, AIR TARA,AERFI Group,Ireland
AGQ, GALASERVICE,Aerogala,Chile
AGT, AMADEUS,Amadeus IT Group,Spain
AGU, SARMA,Angara Airlines,U
AGW, AERO GAMBIA,Aero Gambia,Gambia
AGX, GENEX,Aviogenex,Serbia
BLR, BLUE RIDGE,Atlantic Coast Airlines,K
BLZ, AEROLOZ,Aero Barloz,Mexico
PLI, Aeroperu,Aeroperú,Peru
BMM, ATLAS BLUE,Atlas Blue,Morocco
BNB, AEROBANOBRAS,Aero Banobras,Mexico
AGY, FLIGHT GROUP,Aero Flight Service,K
AGZ, AGROLET,Agrolet-Mci,Slovakia
AHA, AIR ALPHA,Air Alpha Greenland,Denmark
AHC, AZALAVIACARGO,Azal Avia Cargo,Azerbaijan
AHE, AIRPORT HELICOPTER,Airport Helicopter Basel Muller & Co.,Switzerland
CJE, BIRD JET,Aeroservices Corporate,LF
AHF, ASPEN,Aspen Helicopters,K
AHG, AEROCHAGO,Aerochago Airlines,Dominican Republic
AHH, AIRHOLD,Airplanes Holdings,Ireland
AHP, AEROCHIAPAS,Aerochiapas,Mexico
AHU, ABC HUNGARY,ABC Air Hungary,Hungary
AHW, AEROMIST,Aeromist-Kharkiv,UK
AHY, AZAL,Azerbaijan Airlines,Azerbaijan
AIA, AVIES,Avies,Estonia
AIB, AIRBUS INDUSTRIE,Airbus Industrie,LF
AIH, AIR INCHEON,Air Incheon,South Korea
ASV, AIR SEOUL,Air Seoul,South Korea
AIJ, ABC AEROLINEAS,ABC Aerolíneas,Mexico
AIK, AFRICAN AIRLINES,African Airlines International Limited,HK
AIN, FLY CARGO,African International Airways,Swaziland
AIP, ALPINE AIR,Alpine Air Express,K
AIU, ALIA,Alicante Internacional Airlines,Spain
ABP, BAIR,ABS Jets,LK
ABQ, PAKBLUE,Airblue,Pakistan
THM, THAI AIRMARK,Airmark Aviation,Thailand
AIR, AIRLIFT,Airlift International,K
AIT, ,Airest,Estonia
AIV, AIRVIAS,Airvias S/A Linhas Aéreas,Brazil
BES, BIRD EXPRESS,Aero Services Executive,LF
AIW, TARTAN,Atlantic Island Airways,C
AIX, CRUISER,Aircruising Australia,Y
AIY, AIRCREW,Aircrew Check and Training Australia,Y
AIZ, ARKIA,Arkia Israel Airlines,LL
AJA, AFGHAN JET,Afghan Jet International Airlines,Afghanistan
AJB, AERO JBR,Aero JBR,Mexico
AJE, JET EXPRESS,Aero Jet Express,Mexico
AJF, AVIACONSULT,Avia Consult Flugbetriebs,Austria
AJI, AMERISTAR,Ameristar Jet Charter,K
AJK, BAMBI,Allied Air,Nigeria
AJO, AEROEXO,Aero Ejecutivo,Mexico
AJP, AEROJETS,Aero Jets Corporativos,Mexico
AJS, AEROEJECUTIVOS,Aeroejecutivos Colombia,Colombia
AJT, AMERIJET,Amerijet International,K
AJV, AYJAY CARGO,ANA & JP Express,Japan
AJW, ALPHAJET,Alpha Jet International,K
AJY, AYJET,AJet,Cyprus
AKB, KARAB,Aktjubavia,Kazakhstan
AKC, ARCA,Arca Aerovías Colombianas Ltda.,Colombia
AKF, ANIKAY,Anikay Air Company,Kyrgyzstan
AKH, AKHAL,Akhal,UT
MNI, AEROMIL,Aeromilenio,Mexico
AKK, AKLAK,Aklak Air,C
AKL, ,Air Kiribati,Kiribati
AKN, ALKAN AIR,Alkan Air,C
AKW, ANGKORWAYS,Angkor Airways,Cambodia
AKZ, ABSOLUTE,AK Navigator LLC,Kazakhstan
ALB, ALBATROS,Aero Albatros,Mexico
ALD, ALBION,Albion Aviation,EG
ALE, AEROALAS,Aeroalas Colombia,Colombia
ALF, ACEFORCE,Allied Command Europe (Mobile Force),Belgium
BTS, AEROLINEAS ALBATROS,Aerotaxis Albatros,Mexico
FYS, AMERICAN FLYERS,American Flyers,K
DFA, AERO COACH,Aero Coach Aviation,K
ASQ, ACEY,Atlantic Southeast Airlines,K
BVR, BAVARIAN,ACM Air Charter,ED
ALG, AIRLOG,Air Logistics,K
ALL, VALLARTA,Aerovallarta,Mexico
AWE, CACTUS,America West Airlines,K
TNO, AEROUNION,Aerotransporte de Carga Union,Mexico
TND, TAXIS CESSNA,Aero Taxis Cessna,Mexico
TMP, TEMPE,Arizona Express Airlines,K
ALO, ALLEGHENY,Allegheny Commuter Airlines,K
ALP, ALLPOINTS,Allpoints Jet,Z
ALP, ALPINER,Alpliner AG,Switzerland
ALQ, ALTAIR,Altair Aviation (1986),C
ALV, AEROPOSTAL,Aeropostal Alas de Venezuela,Venezuela
ALW, ALNACIONAL,Alas Nacionales S.A.,Dominican Republic
ALY, ALYESKA,Alyeska Air Service,K
ALZ, ,Alta Flights (Charters) Ltd.,C
AMA, ADIK,ATMA,Kazakhstan
AMD, AEROLINEAS MEDELLIN,Aerolíneas Medellín,Colombia
AMF, AMFLIGHT,Ameriflight,K
AMH, MANN,Alan Mann Helicopters Ltd.,EG
AMJ, AVIATION AMOS,Aviation Amos,C
AMK, AMER AIR,Amerer Air,Austria
AMM, AEROM,Aeroputul International Marculesti,Moldova
AMP, ATSA,Aero Transporte S.A. (ATSA),Peru
AMQ, LIFELINE,Aeromedicare Ltd.,EG
AMQ, AMEX,Aircraft Management and Consulting,Poland
AMT, AMTRAN,ATA Airlines,K
AMV, ,AMC Airlines,Egypt
AMX, AEROMEXICO,Aeroméxico,Mexico
AMZ, AMIYA AIR,Amiya Airline,Nigeria
ANC, ANGLO,Anglo Cargo,EG
BRP, AEROBRA,AeroBratsk,U
ANH, ALAJNIHAH,Alajnihah for Air Transport,Libya
ANM, NORAM,Aerotransportacion de Norteamerica,Mexico
ANM, ANTARES,Antares Airtransport Maintenance & Service GmbH,ED
ANO, TOPEND,Airnorth,Y
ANQ, ANTIOQUIA,Aerolínea de Antioquia,Colombia
ANS, AEROANDES,Andes Líneas Aéreas,Argentina
AOM, French Lines,AOM French Airlines,LF
ANW, AVINOR,Aviación Del Noroeste S.A. de C.V.,Mexico
SAP, TOBOL,Avia Jaynar,Kazakhstan
EMS, SERVIEMPRESARIAL,Aero Servicios Empresariales,Mexico
AOA, ALCON,Alcon Servicios Aéreos S.A. de C.V.,Mexico
AOC, AERO AVCOM,AVCOM,U
AOD, AERO CZECH,Aero Vodochody,LK
AOF, ATAIR,Atair Pty Ltd.,South Africa
AOG, AVIP,Aero VIP,Argentina
MUN, AEROMUNDO,Aeromundo Ejecutivo,Mexico
MUR, MURI,Aerolínea Muri,Mexico
AOI, ASTORIA,Astoria Inc.,C
NRO, AEROMASTER,Aero Rent JSC,U
NRP, AERONORD,Aeronord-Grup,Moldova
AOK, ,Aeroatlantico Colombia,Colombia
AOL, ANGKOR AIR,Angkor Airlines,Cambodia
AON, AERO ENTERPRISE,Aero Entreprise,LF
AOO, COMPANY AS,As Opened Joint Stock Company,UK
AOP, AEROPILOTO,Aeropiloto,Portugal
VIV, AEROENLACES,Aeroenlaces Nacionales,Mexico
VIZ, AEROVIZ,Aerovis Airlines,UK
VJE, ,AvJet Routing,United Arab Emirates
VGF, VISTA GULF,Aerovista Gulf Express,United Arab Emirates
VER, ALMAVER,Almaver,Mexico
AOR, INTER-AFRO,Afro International Ent. Limited,Nigeria
SMX, ALIEXPRESS,Alitalia Express,Italy
AOT, ASIA OVERNIGHT,Asia Overnight Express,Philippines
AOV, AEROVISION,Aero Vision,LF
AOX, AEROVALLE,Aerotaxi Del Valle,Colombia
APC, AIRPAC,Airpac Airlines Inc.,K
SVM, SERVIMONTE,Aeroservicios Monterrey,Mexico
APF, AMAPOLA,Amapola Flyg AB,Sweden
APH, AIRFLIGHT,Alpha Aviation Inc.,K
API, ASA PESADA,ASA Pesada Lda.,Angola
APJ, AIR PEACH,Peach Aviation,Japan
PET, AEROPETRO,Aerotransporte Petrolero,Colombia
ARF, Aero Fox,Aero Flight,ED
BJT, BAY JET,ACM Aviation,K
BKL, BARCOL,Aircompany Barcol,U
BLA, ALL CHARTER,All Charter Limited,EG
APL, APPALACHIAN,Appalachian Flying Service Inc.,K
APM, ALASKA PACIFIC,Airpac Inc.,K
APO, AEROPRO,Aeropro,C
APP, AEROPERLAS,Aerolíneas Pacífico Atlántico S.A. (Apair),Panama
APQ, ASPEN BASE,Aspen Aviation,K
APU, AEROPUMA,Aeropuma S.A.,El Salvador
APW, BIG A,Arrow Air,K
APX, PARCEL EXPRESS,Apex Air Cargo,K
APY, APA INTERNACIONAL,APA Internacional,Dominican Republic
AQA, ATCO,Aeroatlas S.A.,Colombia
AQL, AQUILA,Aquila Air Ltd.,C
AQO, ALCOA SHUTTLE,Aluminum Company Of America,K
AQT, AVIOQUINTANA,Aviones de Renta de Quintana Roo S.A. de C.V.,Mexico
AQU, QUARIUS,AirQuarius Aviation,South Africa
AQZ, QUANZA,Aerodyne Charter Company,K
ARA, ARIK AIR,Arik Air,Nigeria
ARB, AVIAIR,Avia Air N.V.,Aruba
AWT, ALBAWINGS,Albawings,Albania
ARE, AIRES,Aires Aerovías de Integración Regional S.A.,Colombia
ARG, ARGENTINA,Aerolíneas Argentinas,Argentina
ARH, ARROWHEAD,Arrowhead Airways,K
ARI, AEROVICS,Aero Vics,Mexico
ARJ, ,Aerojet de Costa Rica S.A.,Costa Rica
SUN, ,Antillana De Navegación Aérea,Dominican Republic
SUO, SERVICIO SANLUIS,Aeroservicios De San Luis,Mexico
SUP, AEROSUPER,Aerosuper,Mexico
ARK, LINK SERVICE,Aero Link Air Services S.L.,Spain
ARL, AIRLEC,Airlec - Air Aquitaine Transport,LF
ARM, AMEX,Aeromarket Express,Spain
ARO, ARROW,Arrow Aviation Ltd.,C
KLD, AIR KLAIPEDA,Air Klaipėda,Lithuania
ARQ, ARMSTRONG,Armstrong Air Inc.,C
ARS, METSERVICE,Aeromet Servicios,Chile
ART, AEROTAL,Aerotal Aerolíneas Territoriales de Colombia Ltda.,Colombia
ARV, ARAVCO,Aravco Ltd.,EG
ARW, ARIABIRD,Aria,LF
OST, ALANIA,Airline Alania,U
HUC, LINEAS TEHUACAN,Aerolíneas de Techuacán,Mexico
HUT, AEROHUITZILIN,Aerotransportes Huitzilin,Mexico
HUY, AERO HUMAYA,Aero Transportes Del Humaya,Mexico
ARY, GOSEY,Argosy Airways,K
ASA, ALASKA,Alaska Airlines Inc.,K
ASE, MOROZOV,Airstars,U
